costCenterId,count,id_firestore,notes,referenceMonth,referenceYear,sectorId,unitId
uNyyHiailuJuxGJYrGc5,3,049OlDXHBeBMvgVEOuxR,,1,2025,jDL8jvFpKXMEnVdsBIex,vcUJkV1rt2Ia1JTvFP7v
wBz4mUcP7XOlhz119EWw,12,08EUX7gybJTdMPQKUnva,,8,2024,ogIG1xXooObgj912at6t,vcUJkV1rt2Ia1JTvFP7v
lLznvVLFlLhFVqgJp0WU,1,0CoXXeg97Zf3YjllSo2Q,,5,2025,ucnDmU9K4JKpFc3Os3Hd,vcUJkV1rt2Ia1JTvFP7v
qGQfdOhfYCHNRchsjw7F,11,0HTwgqRLbaHIrOZaXxXE,,3,2025,eCwiMwQCRJKrvOCsQDVN,vcUJkV1rt2Ia1JTvFP7v
uCOdcnxILp65W3UFgcCs,1,0jpIfMoeV2yLIueDtiYC,,9,2024,HWuwiRi50QD9VJ0nNzZY,vcUJkV1rt2Ia1JTvFP7v
BufF5aLxeaiyoFwz2yhO,2,0kPIJbTxFv1Tnds8wXEq,,10,2024,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
z82C8gUP0gCQ60E8oYZ5,1,15gtbjvJvAsdIdg7c2nM,,11,2024,MkgEqYjmgdAF6QUWkRmX,vcUJkV1rt2Ia1JTvFP7v
9SNUf0NcYlPsui81g4G5,1,1URtJekoeZr3N8TZW43C,,11,2024,GHZu0eLugHwLG78jBeez,vcUJkV1rt2Ia1JTvFP7v
hiBy5Uy9XHNrDsPUlUKE,1,1ePLDTkUZ8u6s4IvPkRe,,3,2025,AQmM38SeJqAqlJrfPVdR,vcUJkV1rt2Ia1JTvFP7v
wBz4mUcP7XOlhz119EWw,5,26qxPOkSD1nygrbkyXOe,,12,2024,ogIG1xXooObgj912at6t,vcUJkV1rt2Ia1JTvFP7v
qGQfdOhfYCHNRchsjw7F,4,2CIM4xNoFlOQddkgTSd1,,9,2024,eCwiMwQCRJKrvOCsQDVN,vcUJkV1rt2Ia1JTvFP7v
BufF5aLxeaiyoFwz2yhO,2,2T0Xs6rr3Gro4v3gEH94,,11,2024,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
lLznvVLFlLhFVqgJp0WU,1,2kI8Wllzu1ttfAZk6gB1,,11,2024,ucnDmU9K4JKpFc3Os3Hd,vcUJkV1rt2Ia1JTvFP7v
z82C8gUP0gCQ60E8oYZ5,1,2waDFbfJRSiSpW1Kr5fg,,1,2025,MkgEqYjmgdAF6QUWkRmX,vcUJkV1rt2Ia1JTvFP7v
hYhqQhId0xJm1f40rheK,2,37jKBBC9kvDItm2GFFTw,,3,2025,Dzg8StK8lfM4QoDVIstc,vcUJkV1rt2Ia1JTvFP7v
BufF5aLxeaiyoFwz2yhO,6,3CXLaMme05FsEYRNG01W,,9,2024,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
l9t7bARHco2hwdwk59OS,3,3DTHNiMo4poTCaxqPIqS,,2,2025,Od91QUy7KUEVGUZjRh3c,vcUJkV1rt2Ia1JTvFP7v
wBz4mUcP7XOlhz119EWw,10,3jwzaYW9VanUjtKhegNX,,9,2024,ogIG1xXooObgj912at6t,vcUJkV1rt2Ia1JTvFP7v
uNyyHiailuJuxGJYrGc5,9,3wnGUDGYoZwX4DLBCaMY,,3,2025,jDL8jvFpKXMEnVdsBIex,vcUJkV1rt2Ia1JTvFP7v
Bj6GkhQv6g9bZA9EdcRj,4,4DXRrvSoB21mR3Eh4nvz,,12,2024,JwBtyHrAXS1TKxrJIv3b,vcUJkV1rt2Ia1JTvFP7v
qGQfdOhfYCHNRchsjw7F,7,4XHtwkoBdejCxhSe8R8L,,12,2024,eCwiMwQCRJKrvOCsQDVN,vcUJkV1rt2Ia1JTvFP7v
J9S92kU1qMWpw8Tso8Av,23,4mB7oLEofCLapRASBfxu,,5,2025,DL7EE7BZyQRtBqjupgcq,vcUJkV1rt2Ia1JTvFP7v
uNyyHiailuJuxGJYrGc5,5,4oY5mb4h3GXb0NYoeJFX,,12,2024,jDL8jvFpKXMEnVdsBIex,vcUJkV1rt2Ia1JTvFP7v
J9S92kU1qMWpw8Tso8Av,4,5WhTVGmPUgRY7YdOq49F,,12,2024,DL7EE7BZyQRtBqjupgcq,vcUJkV1rt2Ia1JTvFP7v
gjCogaNeoD2xxdQtADaU,1,5pNjM3B132MuHwKrEv66,,8,2024,uXSejEC6mzIKmQih3SU3,vcUJkV1rt2Ia1JTvFP7v
lx5ba0d0g6KwCmeCiV7E,4,5uWYF524jbGnzRuXpHt3,,11,2024,JuJLxLca9a7SfUHp9Z6n,vcUJkV1rt2Ia1JTvFP7v
wBz4mUcP7XOlhz119EWw,10,650l3oilWSwTQ9Gh6p5v,,10,2024,ogIG1xXooObgj912at6t,vcUJkV1rt2Ia1JTvFP7v
qGQfdOhfYCHNRchsjw7F,8,7WGGVQW2HsioIMzyCgp3,,8,2024,eCwiMwQCRJKrvOCsQDVN,vcUJkV1rt2Ia1JTvFP7v
l9t7bARHco2hwdwk59OS,3,8DhSitLhgMVQte5EF0uJ,,7,2024,Od91QUy7KUEVGUZjRh3c,vcUJkV1rt2Ia1JTvFP7v
lLznvVLFlLhFVqgJp0WU,5,8OEKNjGySS4w127t2nvy,,1,2025,ucnDmU9K4JKpFc3Os3Hd,vcUJkV1rt2Ia1JTvFP7v
z82C8gUP0gCQ60E8oYZ5,1,8fNnE01hlieN5LaRRPs8,,9,2024,MkgEqYjmgdAF6QUWkRmX,vcUJkV1rt2Ia1JTvFP7v
aEk50YUcFdYewSnTCyex,5,8rbja6DW8YX4v8O108p0,,8,2024,XNikCZJkyMPCdMfVGv1t,vcUJkV1rt2Ia1JTvFP7v
lLznvVLFlLhFVqgJp0WU,4,9OtgiKupwK4anGzBvQo1,,12,2024,ucnDmU9K4JKpFc3Os3Hd,vcUJkV1rt2Ia1JTvFP7v
LvdIwvDuN9VfH0xatcEj,14,9mn935zh2CRYJ1WcgAg1,,5,2025,mTf5jggXwVzMMvN05DRj,vcUJkV1rt2Ia1JTvFP7v
fiVZaoRzyJm9b3wy79M0,10,AB7SheLGDlwGX5gGSdN1,,10,2024,74GXXOLQcPGgcBBPeJ4h,vcUJkV1rt2Ia1JTvFP7v
aEk50YUcFdYewSnTCyex,4,AJLmCsoqY3c46T1xwKx7,,2,2025,XNikCZJkyMPCdMfVGv1t,vcUJkV1rt2Ia1JTvFP7v
wBz4mUcP7XOlhz119EWw,18,AO4zLj9RdituE8DURdVI,,6,2024,ogIG1xXooObgj912at6t,vcUJkV1rt2Ia1JTvFP7v
hYhqQhId0xJm1f40rheK,2,C0dXgPN3lkvvbxrpj0EX,,4,2025,Dzg8StK8lfM4QoDVIstc,vcUJkV1rt2Ia1JTvFP7v
